time_,run no,cellno_db,compno,cell_no,layer,volume,elevation (top),area (top),MeHg (unfilt),MeHg (diss),MeHg (solids),MeHg (phyto),MeHg (zoo),HgII (unfilt),HgII (diss),HgII (solids),HgInert,HgII (phyto),Hg (zoo),Hg0,MeHg Mass,HgII mass,HgInert mass,mass Hg0
36545.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.124914e-001,1.057870e-001,8.380577e-003,0.000000e+000,0.000000e+000,2.454503e+000,2.337731e+000,1.459650e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.297300e-002,1.376918e+005,3.004360e+006,0.000000e+000,5.259982e+004
36550.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.120316e-001,9.505618e-002,7.530604e-003,1.170396e-002,4.681585e-002,2.448665e+000,2.346121e+000,1.464915e-001,0.000000e+000,6.498336e-016,1.624584e-016,4.175647e-002,1.609017e+005,3.516815e+006,0.000000e+000,5.997137e+004
36550.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.128880e-001,1.061600e-001,8.410055e-003,0.000000e+000,0.000000e+000,2.456686e+000,2.339811e+000,1.460937e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.209601e-002,1.381772e+005,3.007033e+006,0.000000e+000,5.152636e+004
36555.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.124028e-001,9.537119e-002,7.555499e-003,1.174275e-002,4.697101e-002,2.450740e+000,2.348110e+000,1.466145e-001,0.000000e+000,6.503848e-016,1.625962e-016,4.091201e-002,1.614349e+005,3.519796e+006,0.000000e+000,5.875855e+004
36555.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.132644e-001,1.065139e-001,8.438027e-003,0.000000e+000,0.000000e+000,2.458785e+000,2.341811e+000,1.462173e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.124256e-002,1.386378e+005,3.009602e+006,0.000000e+000,5.048172e+004
36560.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.127550e-001,9.567005e-002,7.579118e-003,1.177955e-002,4.711822e-002,2.452735e+000,2.350022e+000,1.467328e-001,0.000000e+000,6.509147e-016,1.627287e-016,4.009026e-002,1.619407e+005,3.522662e+006,0.000000e+000,5.757833e+004
36560.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.136215e-001,1.068499e-001,8.464574e-003,0.000000e+000,0.000000e+000,2.460802e+000,2.343733e+000,1.463362e-001,0.000000e+000,0.000000e+000,0.000000e+000,4.041206e-002,1.390750e+005,3.012070e+006,0.000000e+000,4.946517e+004
36565.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.130893e-001,9.595376e-002,7.601538e-003,1.181449e-002,4.725796e-002,2.454654e+000,2.351861e+000,1.468465e-001,0.000000e+000,6.514241e-016,1.628560e-016,3.929062e-002,1.624209e+005,3.525416e+006,0.000000e+000,5.642987e+004
36565.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.139605e-001,1.071687e-001,8.489769e-003,0.000000e+000,0.000000e+000,2.462740e+000,2.345580e+000,1.464504e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.960391e-002,1.394900e+005,3.014443e+006,0.000000e+000,4.847598e+004
36570.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.134066e-001,9.622299e-002,7.622814e-003,1.184764e-002,4.739057e-002,2.456498e+000,2.353629e+000,1.469559e-001,0.000000e+000,6.519141e-016,1.629785e-016,3.851251e-002,1.628766e+005,3.528066e+006,0.000000e+000,5.531234e+004
36570.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.142822e-001,1.074712e-001,8.513673e-003,0.000000e+000,0.000000e+000,2.464605e+000,2.347357e+000,1.465603e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.881752e-002,1.398837e+005,3.016726e+006,0.000000e+000,4.751342e+004
36575.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.137076e-001,9.647842e-002,7.642997e-003,1.187909e-002,4.751638e-002,2.458274e+000,2.355331e+000,1.470612e-001,0.000000e+000,6.523856e-016,1.630964e-016,3.775536e-002,1.633089e+005,3.530616e+006,0.000000e+000,5.422491e+004
36575.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.145874e-001,1.077584e-001,8.536359e-003,0.000000e+000,0.000000e+000,2.466399e+000,2.349066e+000,1.466660e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.805232e-002,1.402573e+005,3.018922e+006,0.000000e+000,4.657680e+004
36580.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.139933e-001,9.672085e-002,7.662153e-003,1.190895e-002,4.763579e-002,2.459982e+000,2.356968e+000,1.471625e-001,0.000000e+000,6.528394e-016,1.632098e-016,3.701862e-002,1.637192e+005,3.533069e+006,0.000000e+000,5.316678e+004
